"","estimator","estimate","r","n"
"126","HML",0.985420725880784,-0.99,2000
"127","LS",0.653839600753077,-0.99,2000
"128","PS",-0.0559497237658161,-0.99,2000
"129","HML",1.0814515708808,-0.99,2000
"130","LS",0.578495140852454,-0.99,2000
"131","PS",0.270587897904754,-0.99,2000
"132","HML",0.935830362211864,-0.99,2000
"133","LS",0.586935870139509,-0.99,2000
"134","PS",0.0485506038637431,-0.99,2000
"135","HML",1.01043296492954,-0.99,2000
"136","LS",0.558073106484762,-0.99,2000
"137","PS",0.200351832607606,-0.99,2000
"138","HML",0.939011179027002,-0.99,2000
"139","LS",0.621012797224141,-0.99,2000
"140","PS",0.493760913483815,-0.99,2000
"141","HML",1.01116342072233,-0.99,2000
"142","LS",0.637592223376956,-0.99,2000
"143","PS",0.359205464168632,-0.99,2000
"144","HML",0.99975807902698,-0.99,2000
"145","LS",0.609733857735951,-0.99,2000
"146","PS",-0.176022204933261,-0.99,2000
"147","HML",1.04677474377631,-0.99,2000
"148","LS",0.596577737193913,-0.99,2000
"149","PS",0.289284208493366,-0.99,2000
"150","HML",0.982586510560819,-0.99,2000
"151","LS",0.647457281435498,-0.99,2000
"152","PS",-0.0358715754378274,-0.99,2000
"153","HML",1.04199570654997,-0.99,2000
"154","LS",0.611265957956253,-0.99,2000
"155","PS",-0.0318955883866172,-0.99,2000
"156","HML",0.980629336558649,-0.99,2000
"157","LS",0.640823183229921,-0.99,2000
"158","PS",0.238347630925257,-0.99,2000
"159","HML",0.968636323128285,-0.99,2000
"160","LS",0.621198746410222,-0.99,2000
"161","PS",0.0482279740306663,-0.99,2000
"162","HML",1.05007446744946,-0.99,2000
"163","LS",0.641625901215191,-0.99,2000
"164","PS",-0.382249717530585,-0.99,2000
"165","HML",1.05722875668357,-0.99,2000
"166","LS",0.611120420455091,-0.99,2000
"167","PS",-0.0781321672744825,-0.99,2000
"168","HML",1.02331452022578,-0.99,2000
"169","LS",0.569454491578254,-0.99,2000
"170","PS",0.296575676533023,-0.99,2000
"171","HML",0.900374058715901,-0.99,2000
"172","LS",0.631855233714937,-0.99,2000
"173","PS",-0.115899452400506,-0.99,2000
"174","HML",0.975137556811159,-0.99,2000
"175","LS",0.632329829049081,-0.99,2000
"176","PS",0.251601862477583,-0.99,2000
"177","HML",0.973125269381433,-0.99,2000
"178","LS",0.678440903874145,-0.99,2000
"179","PS",0.274176390237482,-0.99,2000
"180","HML",0.980876387008718,-0.99,2000
"181","LS",0.483798630554442,-0.99,2000
"182","PS",-0.109243709431354,-0.99,2000
"183","HML",0.918724068989401,-0.99,2000
"184","LS",0.643034845659566,-0.99,2000
"185","PS",0.240566108932069,-0.99,2000
"186","HML",1.11128674213395,-0.99,2000
"187","LS",0.619471472613145,-0.99,2000
"188","PS",0.329435426805406,-0.99,2000
"189","HML",1.00514946649316,-0.99,2000
"190","LS",0.699709977159209,-0.99,2000
"191","PS",0.209690284589045,-0.99,2000
"192","HML",1.08192044608036,-0.99,2000
"193","LS",0.50239217185745,-0.99,2000
"194","PS",-0.0217777203653562,-0.99,2000
"195","HML",0.968804941679156,-0.99,2000
"196","LS",0.558949429513865,-0.99,2000
"197","PS",0.320327836427883,-0.99,2000
"198","HML",0.927979602181193,-0.99,2000
"199","LS",0.64790157961482,-0.99,2000
"200","PS",-0.117062899391686,-0.99,2000
"201","HML",1.03235007950615,-0.99,2000
"202","LS",0.638419601329161,-0.99,2000
"203","PS",0.124670956830272,-0.99,2000
"204","HML",0.979235614338517,-0.99,2000
"205","LS",0.54390350785641,-0.99,2000
"206","PS",-0.208344748665609,-0.99,2000
"207","HML",1.09146831169347,-0.99,2000
"208","LS",0.607135036820298,-0.99,2000
"209","PS",0.154656616584199,-0.99,2000
"210","HML",0.965075470942459,-0.99,2000
"211","LS",0.635549999300943,-0.99,2000
"212","PS",0.000546143838061275,-0.99,2000
"213","HML",1.01296135409705,-0.99,2000
"214","LS",0.670323531198049,-0.99,2000
"215","PS",0.201532528481693,-0.99,2000
"216","HML",1.05070904347198,-0.99,2000
"217","LS",0.634510714200504,-0.99,2000
"218","PS",0.134273791946733,-0.99,2000
"219","HML",1.18801977041062,-0.99,2000
"220","LS",0.569480484230426,-0.99,2000
"221","PS",0.0254664560253612,-0.99,2000
"222","HML",1.02812473989434,-0.99,2000
"223","LS",0.662566484966819,-0.99,2000
"224","PS",0.169716590197298,-0.99,2000
"225","HML",1.07932984248364,-0.99,2000
"226","LS",0.580663310981591,-0.99,2000
